Source,Target,weight,prediction
davos-seaworth,devan-seaworth,4.0,0
davos-seaworth,devan-seaworth,5.0,0
davos-seaworth,eddard-stark,4.0,0
davos-seaworth,edric-storm,19.0,2
davos-seaworth,garth-(wolfs-den),4.0,0
davos-seaworth,godric-borrell,9.0,0
davos-seaworth,guncer-sunglass,3.0,0
davos-seaworth,imry-florent,3.0,0
davos-seaworth,joffrey-baratheon,10.0,0
davos-seaworth,khorane-sathmantes,4.0,0
davos-seaworth,lamprey,8.0,0
davos-seaworth,leona-woolfield,3.0,0
davos-seaworth,marlon-manderly,5.0,0
davos-seaworth,matthos-seaworth,3.0,0
davos-seaworth,melisandre,20.0,2
davos-seaworth,melisandre,40.0,2
davos-seaworth,melisandre,4.0,0
davos-seaworth,monford-velaryon,3.0,0
davos-seaworth,porridge,6.0,0
davos-seaworth,pylos,9.0,0
davos-seaworth,pylos,15.0,0
davos-seaworth,renly-baratheon,6.0,0
davos-seaworth,robb-stark,3.0,0
davos-seaworth,robett-glover,4.0,0
davos-seaworth,salladhor-saan,8.0,0
davos-seaworth,salladhor-saan,22.0,2
davos-seaworth,salladhor-saan,11.0,0
davos-seaworth,selyse-florent,6.0,0
davos-seaworth,shireen-baratheon,9.0,0
davos-seaworth,stannis-baratheon,58.0,1
davos-seaworth,stannis-baratheon,52.0,2
davos-seaworth,stannis-baratheon,21.0,2
davos-seaworth,sybell-spicer,3.0,0
davos-seaworth,wyman-manderly,32.0,2
selyse-florent,shireen-baratheon,8.0,0
selyse-florent,stannis-baratheon,15.0,0
selyse-florent,stannis-baratheon,12.0,0
selyse-florent,stannis-baratheon,14.0,0
selyse-florent,val,15.0,0
selyse-florent,wun-weg-wun-dar-wun,5.0,0
