Source,Target,weight,prediction
ben-bones,ramsay-snow,5.0,0
ben-bones,theon-greyjoy,4.0,0
eddison-tollett,emmett,8.0,0
eddison-tollett,gilly,3.0,0
eddison-tollett,grenn,13.0,0
eddison-tollett,hobb,4.0,0
eddison-tollett,janos-slynt,4.0,0
eddison-tollett,jeor-mormont,4.0,0
eddison-tollett,jeor-mormont,5.0,0
eddison-tollett,jon-snow,11.0,0
eddison-tollett,jon-snow,5.0,0
eddison-tollett,jon-snow,25.0,2
eddison-tollett,mully,3.0,0
eddison-tollett,othell-yarwyck,3.0,0
eddison-tollett,pypar,5.0,0
eddison-tollett,samwell-tarly,15.0,0
eddison-tollett,samwell-tarly,4.0,0
eddison-tollett,satin,3.0,0
eddison-tollett,watt,3.0,0
genna-lannister,jaime-lannister,7.0,0
genna-lannister,tywin-lannister,3.0,0
