Source,Target,weight,prediction
cley-cerwyn,donella-hornwood,3.0,0
cley-cerwyn,rodrik-cassel,4.0,0
pycelle,qyburn,10.0,0
pycelle,renly-baratheon,7.0,0
pycelle,robert-baratheon,26.0,2
pycelle,robert-baratheon,3.0,0
pycelle,sansa-stark,8.0,0
pycelle,shagga,4.0,0
pycelle,stannis-baratheon,3.0,0
pycelle,stannis-baratheon,3.0,0
pycelle,stannis-baratheon,6.0,0
pycelle,tyrion-lannister,21.0,2
pycelle,tyrion-lannister,12.0,0
pycelle,tywin-lannister,4.0,0
pycelle,tywin-lannister,5.0,0
pycelle,tywin-lannister,4.0,0
pycelle,varys,17.0,0
pycelle,varys,9.0,0
pycelle,varys,5.0,0
pycelle,varys,4.0,0
pycelle,walder-frey,3.0,0
sarella-sand,tyene-sand,3.0,0
