Source,Target,weight,prediction
dagmer,rodrik-cassel,3.0,0
dagmer,theon-greyjoy,7.0,0
drogo,haggo,9.0,0
drogo,illyrio-mopatis,16.0,0
drogo,irri,9.0,0
drogo,irri,3.0,0
drogo,jhiqui,5.0,0
drogo,jhogo,7.0,0
drogo,jommo,3.0,0
drogo,jorah-mormont,16.0,0
drogo,jorah-mormont,4.0,0
drogo,jorah-mormont,8.0,0
drogo,mirri-maz-duur,12.0,0
drogo,ogo,11.0,0
drogo,pono,4.0,0
drogo,qotho,13.0,0
drogo,quaro,3.0,0
drogo,rakharo,4.0,0
drogo,rhaego,5.0,0
drogo,robert-baratheon,3.0,0
drogo,viserys-targaryen,19.0,2
drogo,viserys-targaryen,3.0,0
drogo,viserys-targaryen,4.0,0
groleo,hero,4.0,0
groleo,jhogo,5.0,0
groleo,skahaz-mo-kandaq,3.0,0
