Source,Target,weight,prediction
arnolf-karstark,arthor-karstark,3.0,0
arnolf-karstark,asha-greyjoy,3.0,0
arnolf-karstark,mors-umber,4.0,0
arnolf-karstark,rickard-karstark,3.0,0
arnolf-karstark,stannis-baratheon,7.0,0
brynden-tully,catelyn-stark,16.0,0
brynden-tully,catelyn-stark,5.0,0
brynden-tully,catelyn-stark,5.0,0
brynden-tully,catelyn-stark,3.0,0
brynden-tully,daven-lannister,3.0,0
brynden-tully,edmure-tully,3.0,0
brynden-tully,edmure-tully,6.0,0
brynden-tully,edmure-tully,15.0,0
brynden-tully,edwyn-frey,3.0,0
brynden-tully,emmon-frey,7.0,0
brynden-tully,hoster-tully,5.0,0
brynden-tully,jaime-lannister,7.0,0
brynden-tully,jaime-lannister,18.0,0
brynden-tully,jaime-lannister,4.0,0
brynden-tully,lyle-crakehall,4.0,0
brynden-tully,lysa-arryn,10.0,0
brynden-tully,nestor-royce,3.0,0
brynden-tully,rickard-karstark,4.0,0
brynden-tully,robb-stark,9.0,0
brynden-tully,robb-stark,6.0,0
brynden-tully,robb-stark,12.0,0
brynden-tully,ryman-frey,3.0,0
brynden-tully,theon-greyjoy,6.0,0
brynden-tully,tyrion-lannister,4.0,0
brynden-tully,tywin-lannister,3.0,0
brynden-tully,tywin-lannister,3.0,0
brynden-tully,tywin-lannister,4.0,0
brynden-tully,walder-frey,3.0,0
brynden-tully,walder-frey,4.0,0
gregor-clegane,helman-tallhart,3.0,0
gregor-clegane,ilyn-payne,3.0,0
gregor-clegane,ilyn-payne,7.0,0
gregor-clegane,ilyn-payne,4.0,0
gregor-clegane,ilyn-payne,3.0,0
gregor-clegane,jaime-lannister,3.0,0
gregor-clegane,jaime-lannister,7.0,0
gregor-clegane,jaime-lannister,5.0,0
gregor-clegane,joffrey-baratheon,3.0,0
gregor-clegane,joffrey-baratheon,9.0,0
gregor-clegane,loras-tyrell,10.0,0
gregor-clegane,marq-piper,6.0,0
gregor-clegane,meryn-trant,4.0,0
gregor-clegane,meryn-trant,6.0,0
gregor-clegane,meryn-trant,3.0,0
gregor-clegane,meryn-trant,3.0,0
gregor-clegane,oberyn-martell,39.0,2
gregor-clegane,oberyn-martell,3.0,0
gregor-clegane,petyr-baelish,3.0,0
gregor-clegane,polliver,5.0,0
gregor-clegane,polliver,11.0,0
gregor-clegane,pycelle,3.0,0
gregor-clegane,pycelle,3.0,0
gregor-clegane,qyburn,6.0,0
gregor-clegane,rafford,6.0,0
gregor-clegane,rafford,12.0,0
gregor-clegane,rafford,4.0,0
gregor-clegane,rafford,3.0,0
gregor-clegane,robb-stark,4.0,0
gregor-clegane,robert-baratheon,4.0,0
gregor-clegane,sandor-clegane,11.0,0
gregor-clegane,sandor-clegane,5.0,0
gregor-clegane,sandor-clegane,10.0,0
gregor-clegane,sandor-clegane,5.0,0
gregor-clegane,sansa-stark,5.0,0
gregor-clegane,tickler,5.0,0
gregor-clegane,tickler,12.0,0
gregor-clegane,tyrion-lannister,7.0,0
gregor-clegane,tyrion-lannister,23.0,2
gregor-clegane,tywin-lannister,6.0,0
gregor-clegane,tywin-lannister,4.0,0
gregor-clegane,tywin-lannister,5.0,0
gregor-clegane,tywin-lannister,5.0,0
gregor-clegane,weese,5.0,0
halys-hornwood,rodrik-cassel,3.0,0
mance-rayder,melisandre,6.0,0
mance-rayder,pypar,4.0,0
mance-rayder,qhorin-halfhand,4.0,0
mance-rayder,qhorin-halfhand,9.0,0
mance-rayder,ramsay-snow,7.0,0
mance-rayder,rattleshirt,12.0,0
mance-rayder,rowan,4.0,0
mance-rayder,samwell-tarly,10.0,0
mance-rayder,squirrel,5.0,0
mance-rayder,stannis-baratheon,16.0,0
mance-rayder,styr,14.0,0
mance-rayder,theon-greyjoy,9.0,0
mance-rayder,thoren-smallwood,3.0,0
mance-rayder,thoren-smallwood,4.0,0
mance-rayder,tormund,20.0,2
mance-rayder,tormund,12.0,0
mance-rayder,val,8.0,0
mance-rayder,val,6.0,0
mance-rayder,varamyr,6.0,0
mance-rayder,varamyr,3.0,0
mance-rayder,ygritte,14.0,0
