Source,Target,weight,prediction
godry-farring,jon-snow,3.0,0
godry-farring,justin-massey,3.0,0
godry-farring,mance-rayder,3.0,0
godry-farring,melisandre,3.0,0
godry-farring,stannis-baratheon,9.0,0
hotho-harlaw,rodrik-harlaw,4.0,0
hotho-harlaw,sigfryd-harlaw,4.0,0
hotho-harlaw,victarion-greyjoy,4.0,0
rolly-duckfield,tyrion-lannister,20.0,2
rolly-duckfield,yandry,12.0,0
rolly-duckfield,ysilla,9.0,0
tommen-baratheon,tyrion-lannister,3.0,0
tommen-baratheon,tyrion-lannister,10.0,0
tommen-baratheon,tyrion-lannister,8.0,0
tommen-baratheon,tyrion-lannister,5.0,0
tommen-baratheon,tywin-lannister,5.0,0
tommen-baratheon,tywin-lannister,6.0,0
