Source,Target,weight,prediction
benethon-scales,narbert-grandison,3.0,0
benethon-scales,selyse-florent,4.0,0
craster,dirk,6.0,0
craster,dywen,7.0,0
craster,eddison-tollett,3.0,0
craster,eddison-tollett,3.0,0
craster,gilly,16.0,0
craster,gilly,8.0,0
craster,grenn,3.0,0
craster,jeor-mormont,19.0,2
craster,jeor-mormont,8.0,0
craster,jeor-mormont,3.0,0
craster,jojen-reed,3.0,0
craster,jon-snow,26.0,2
craster,jon-snow,7.0,0
craster,jon-snow,3.0,0
craster,mance-rayder,4.0,0
craster,mance-rayder,6.0,0
craster,samwell-tarly,10.0,0
craster,samwell-tarly,32.0,2
craster,samwell-tarly,6.0,0
craster,thoren-smallwood,4.0,0
craster,tormund,3.0,0
hoster-tully,jaime-lannister,4.0,0
hoster-tully,lothar-frey,5.0,0
hoster-tully,lysa-arryn,3.0,0
hoster-tully,lysa-arryn,6.0,0
hoster-tully,robb-stark,4.0,0
hoster-tully,robert-baratheon,3.0,0
hoster-tully,tansy,5.0,0
hoster-tully,vyman,3.0,0
hoster-tully,vyman,4.0,0
lark,samwell-tarly,3.0,0
lark,small-paul,8.0,0
lark,softfoot,3.0,0
loras-tyrell,mace-tyrell,3.0,0
loras-tyrell,mace-tyrell,6.0,0
loras-tyrell,margaery-tyrell,10.0,0
loras-tyrell,margaery-tyrell,21.0,2
loras-tyrell,olenna-redwyne,5.0,0
loras-tyrell,osmund-kettleblack,4.0,0
loras-tyrell,osmund-kettleblack,13.0,0
loras-tyrell,petyr-baelish,5.0,0
loras-tyrell,renly-baratheon,5.0,0
loras-tyrell,renly-baratheon,14.0,0
loras-tyrell,renly-baratheon,8.0,0
loras-tyrell,robert-baratheon,4.0,0
loras-tyrell,robert-baratheon,3.0,0
loras-tyrell,rodrik-cassel,3.0,0
loras-tyrell,sandor-clegane,4.0,0
loras-tyrell,sansa-stark,14.0,0
loras-tyrell,sansa-stark,13.0,0
loras-tyrell,stannis-baratheon,4.0,0
loras-tyrell,tommen-baratheon,13.0,0
loras-tyrell,tyrion-lannister,8.0,0
loras-tyrell,tyrion-lannister,10.0,0
loras-tyrell,tyrion-lannister,3.0,0
loras-tyrell,willas-tyrell,4.0,0
