Source,Target,weight,prediction
arstan,belwas,25.0,2
arstan,daenerys-targaryen,29.0,2
arstan,illyrio-mopatis,3.0,0
arstan,jhiqui,3.0,0
arstan,jorah-mormont,13.0,0
arstan,kraznys-mo-nakloz,3.0,0
arstan,mero,7.0,0
arstan,rhaegar-targaryen,7.0,0
grunt,sour-alyn,7.0,0
grunt,theon-greyjoy,3.0,0
ilyn-payne,jaime-lannister,30.0,2
ilyn-payne,jeyne-poole,3.0,0
ilyn-payne,joffrey-baratheon,4.0,0
ilyn-payne,joffrey-baratheon,13.0,0
ilyn-payne,joffrey-baratheon,9.0,0
ilyn-payne,loras-tyrell,3.0,0
ilyn-payne,lyle-crakehall,6.0,0
ilyn-payne,meryn-trant,8.0,0
ilyn-payne,meryn-trant,6.0,0
ilyn-payne,meryn-trant,5.0,0
ilyn-payne,meryn-trant,3.0,0
ilyn-payne,polliver,3.0,0
ilyn-payne,polliver,5.0,0
ilyn-payne,rafford,3.0,0
ilyn-payne,rafford,6.0,0
ilyn-payne,rafford,4.0,0
ilyn-payne,rafford,3.0,0
ilyn-payne,robert-baratheon,4.0,0
ilyn-payne,sandor-clegane,8.0,0
ilyn-payne,sandor-clegane,5.0,0
ilyn-payne,sansa-stark,9.0,0
ilyn-payne,sansa-stark,9.0,0
ilyn-payne,tickler,5.0,0
ilyn-payne,tickler,6.0,0
ilyn-payne,tyrion-lannister,6.0,0
ilyn-payne,varys,5.0,0
jon-umber-(greatjon),jon-umber-(smalljon),4.0,0
jon-umber-(greatjon),maege-mormont,5.0,0
jon-umber-(greatjon),maege-mormont,3.0,0
jon-umber-(greatjon),rickard-karstark,7.0,0
jon-umber-(greatjon),rickard-karstark,7.0,0
jon-umber-(greatjon),robb-stark,8.0,0
jon-umber-(greatjon),robb-stark,8.0,0
jon-umber-(greatjon),robb-stark,15.0,0
jon-umber-(greatjon),robin-flint,3.0,0
jon-umber-(greatjon),roose-bolton,3.0,0
jon-umber-(greatjon),theon-greyjoy,5.0,0
jon-umber-(greatjon),tywin-lannister,3.0,0
jon-umber-(greatjon),walder-frey,4.0,0
jon-umber-(greatjon),wendel-manderly,3.0,0
nurse,penny,4.0,0
nurse,tyrion-lannister,8.0,0
nurse,yezzan-zo-qaggaz,12.0,0
olenna-redwyne,sansa-stark,12.0,0
olenna-redwyne,tyrion-lannister,3.0,0
orell,ygritte,3.0,0
osney-kettleblack,stannis-baratheon,3.0,0
osney-kettleblack,taena-of-myr,3.0,0
osney-kettleblack,tommen-baratheon,6.0,0
