Source,Target,weight,prediction
bloodbeard,daenerys-targaryen,3.0,0
bloodbeard,hizdahr-zo-loraq,5.0,0
bloodbeard,tattered-prince,3.0,0
old-bill-bone,quentyn-martell,3.0,0
ramsay-snow,reek,4.0,0
ramsay-snow,robb-stark,3.0,0
ramsay-snow,robb-stark,4.0,0
ramsay-snow,rodrik-cassel,5.0,0
ramsay-snow,roose-bolton,5.0,0
ramsay-snow,roose-bolton,4.0,0
ramsay-snow,roose-bolton,14.0,0
ramsay-snow,skinner,5.0,0
ramsay-snow,sour-alyn,6.0,0
ramsay-snow,stannis-baratheon,8.0,0
ramsay-snow,theon-greyjoy,14.0,0
ramsay-snow,theon-greyjoy,87.0,1
ramsay-snow,walder-frey-(son-of-merrett),3.0,0
ramsay-snow,wyman-manderly,5.0,0
ramsay-snow,yellow-dick,7.0,0
skinner,sour-alyn,6.0,0
skinner,theon-greyjoy,4.0,0
