Source,Target,weight,prediction
nestor-royce,petyr-baelish,17.0,0
nestor-royce,robert-arryn,7.0,0
nestor-royce,sansa-stark,13.0,0
nestor-royce,yohn-royce,3.0,0
rodrik-harlaw,sigfryd-harlaw,3.0,0
rodrik-harlaw,victarion-greyjoy,3.0,0
sansa-stark,shae,8.0,0
sansa-stark,stannis-baratheon,3.0,0
sansa-stark,stannis-baratheon,8.0,0
sansa-stark,tanda-stokeworth,4.0,0
sansa-stark,tanda-stokeworth,3.0,0
sansa-stark,tomard,3.0,0
sansa-stark,tommen-baratheon,10.0,0
sansa-stark,tommen-baratheon,3.0,0
sansa-stark,tyrion-lannister,3.0,0
sansa-stark,tyrion-lannister,31.0,2
sansa-stark,tyrion-lannister,78.0,1
sansa-stark,tyrion-lannister,6.0,0
sansa-stark,tysha,3.0,0
sansa-stark,tywin-lannister,3.0,0
sansa-stark,tywin-lannister,3.0,0
sansa-stark,varys,4.0,0
sansa-stark,varys,4.0,0
sansa-stark,willas-tyrell,5.0,0
sansa-stark,yohn-royce,3.0,0
