Source,Target,weight,prediction
alerie-hightower,mace-tyrell,3.0,0
alerie-hightower,margaery-tyrell,3.0,0
dick-crabb,eustace-brune,3.0,0
dick-crabb,jaime-lannister,3.0,0
dick-crabb,podrick-payne,9.0,0
dick-crabb,renly-baratheon,3.0,0
emmett,hareth-(moles-town),3.0,0
emmett,hop-robin,4.0,0
emmett,janos-slynt,4.0,0
emmett,jon-snow,15.0,0
gynir,wex-pyke,4.0,0
hallis-mollen,luwin,4.0,0
hallis-mollen,robb-stark,13.0,0
hallis-mollen,theon-greyjoy,7.0,0
hallis-mollen,wendel-manderly,3.0,0
marlon-manderly,stannis-baratheon,3.0,0
moqorro,rodrik-sparr,4.0,0
moqorro,tyrion-lannister,7.0,0
moqorro,victarion-greyjoy,21.0,2
