Source,Target,weight,prediction
alayaya,bronn,3.0,0
alayaya,cersei-lannister,3.0,0
alayaya,dancy,3.0,0
alayaya,tyrion-lannister,3.0,0
alayaya,tyrion-lannister,4.0,0
andrew-estermont,davos-seaworth,4.0,0
andrew-estermont,edric-storm,4.0,0
andrew-estermont,gerald-gower,3.0,0
dolf,shagga,7.0,0
dolf,shagga,3.0,0
edric-storm,pylos,9.0,0
edric-storm,robert-baratheon,3.0,0
edric-storm,shireen-baratheon,3.0,0
edric-storm,stannis-baratheon,6.0,0
edwyn-frey,jaime-lannister,9.0,0
edwyn-frey,ryman-frey,5.0,0
edwyn-frey,walder-rivers,8.0,0
lommy-greenhands,weasel,7.0,0
lommy-greenhands,woth,3.0,0
lommy-greenhands,yoren,13.0,0
