Source,Target,weight,prediction
alleras,armen,5.0,0
alleras,leo-tyrell,7.0,0
alleras,marwyn,3.0,0
alleras,mollander,7.0,0
alleras,pate-(novice),8.0,0
alleras,roone,6.0,0
alleras,samwell-tarly,8.0,0
bedwyck,craster,4.0,0
bedwyck,dywen,3.0,0
bedwyck,eddison-tollett,4.0,0
bedwyck,grenn,4.0,0
bedwyck,samwell-tarly,3.0,0
errok,grigg,7.0,0
errok,jon-snow,4.0,0
errok,styr,3.0,0
myrcella-baratheon,robb-stark,3.0,0
myrcella-baratheon,robert-arryn,4.0,0
myrcella-baratheon,robert-baratheon,3.0,0
myrcella-baratheon,sandor-clegane,4.0,0
myrcella-baratheon,sansa-stark,8.0,0
myrcella-baratheon,sansa-stark,6.0,0
myrcella-baratheon,sansa-stark,4.0,0
myrcella-baratheon,stannis-baratheon,3.0,0
myrcella-baratheon,sylva-santagar,4.0,0
myrcella-baratheon,tommen-baratheon,6.0,0
myrcella-baratheon,tommen-baratheon,12.0,0
myrcella-baratheon,tommen-baratheon,7.0,0
myrcella-baratheon,tommen-baratheon,3.0,0
myrcella-baratheon,tommen-baratheon,8.0,0
myrcella-baratheon,trystane-martell,4.0,0
myrcella-baratheon,trystane-martell,6.0,0
myrcella-baratheon,trystane-martell,4.0,0
myrcella-baratheon,tyrion-lannister,8.0,0
myrcella-baratheon,tyrion-lannister,4.0,0
myrcella-baratheon,tyrion-lannister,4.0,0
myrcella-baratheon,tyrion-lannister,5.0,0
sandor-clegane,sansa-stark,23.0,2
sandor-clegane,sansa-stark,19.0,2
sandor-clegane,sansa-stark,8.0,0
sandor-clegane,sansa-stark,3.0,0
sandor-clegane,thoros-of-myr,13.0,0
sandor-clegane,thoros-of-myr,3.0,0
sandor-clegane,tickler,5.0,0
sandor-clegane,tickler,14.0,0
sandor-clegane,tickler,4.0,0
sandor-clegane,timeon,4.0,0
sandor-clegane,tommen-baratheon,5.0,0
sandor-clegane,tyrion-lannister,5.0,0
sandor-clegane,tyrion-lannister,13.0,0
sandor-clegane,tyrion-lannister,4.0,0
sandor-clegane,tyrion-lannister,3.0,0
