Source,Target,weight,prediction
aerys-ii-targaryen,arthur-dayne,5.0,0
aerys-ii-targaryen,barristan-selmy,4.0,0
aerys-ii-targaryen,brandon-stark,4.0,0
aerys-ii-targaryen,brienne-of-tarth,3.0,0
aerys-ii-targaryen,cersei-lannister,3.0,0
aerys-ii-targaryen,denys-darklyn,4.0,0
aerys-ii-targaryen,eddard-stark,10.0,0
aerys-ii-targaryen,eddard-stark,5.0,0
aerys-ii-targaryen,elbert-arryn,3.0,0
aerys-ii-targaryen,gerold-hightower,3.0,0
aerys-ii-targaryen,jaime-lannister,5.0,0
aerys-ii-targaryen,jaime-lannister,4.0,0
aerys-ii-targaryen,jaime-lannister,22.0,2
aerys-ii-targaryen,jaime-lannister,6.0,0
aerys-ii-targaryen,joffrey-baratheon,6.0,0
aerys-ii-targaryen,jon-arryn,3.0,0
aerys-ii-targaryen,owen-merryweather,3.0,0
aerys-ii-targaryen,rhaegar-targaryen,4.0,0
aerys-ii-targaryen,rhaegar-targaryen,5.0,0
aerys-ii-targaryen,rhaegar-targaryen,5.0,0
aerys-ii-targaryen,robert-baratheon,12.0,0
aerys-ii-targaryen,robert-baratheon,6.0,0
aerys-ii-targaryen,robert-baratheon,9.0,0
aerys-ii-targaryen,robert-baratheon,3.0,0
aerys-ii-targaryen,robert-baratheon,5.0,0
aerys-ii-targaryen,rossart,4.0,0
aerys-ii-targaryen,tyrion-lannister,3.0,0
aerys-ii-targaryen,tyrion-lannister,6.0,0
aerys-ii-targaryen,tywin-lannister,10.0,0
aerys-ii-targaryen,tywin-lannister,10.0,0
aerys-ii-targaryen,tywin-lannister,6.0,0
aerys-ii-targaryen,viserys-targaryen,3.0,0
brynden-rivers,meera-reed,3.0,0
harwood-stout,theon-greyjoy,5.0,0
hugh,jon-arryn,3.0,0
longwater-pyke,victarion-greyjoy,3.0,0
