Source,Target,weight,prediction
arys-oakheart,cersei-lannister,3.0,0
arys-oakheart,doran-martell,3.0,0
arys-oakheart,garin-(orphan),3.0,0
arys-oakheart,gerold-dayne,3.0,0
arys-oakheart,gerold-dayne,3.0,0
arys-oakheart,joffrey-baratheon,6.0,0
arys-oakheart,myrcella-baratheon,4.0,0
arys-oakheart,myrcella-baratheon,18.0,0
arys-oakheart,sansa-stark,3.0,0
chett,jeor-mormont,6.0,0
chett,jon-snow,4.0,0
chett,jon-snow,5.0,0
chett,lark,9.0,0
chett,qhorin-halfhand,3.0,0
chett,samwell-tarly,6.0,0
chett,samwell-tarly,4.0,0
chett,small-paul,8.0,0
qyburn,robert-strong,4.0,0
qyburn,roose-bolton,3.0,0
qyburn,roose-bolton,3.0,0
qyburn,stannis-baratheon,3.0,0
qyburn,walton,4.0,0
squint,theon-greyjoy,3.0,0
