Source,Target,weight,prediction
brea,brusco,3.0,0
brea,brusco,3.0,0
brea,talea,4.0,0
gared,jeor-mormont,4.0,0
gared,waymar-royce,13.0,0
gared,will-(prologue),12.0,0
pylos,shireen-baratheon,5.0,0
pylos,shireen-baratheon,4.0,0
pylos,stannis-baratheon,11.0,0
pylos,stannis-baratheon,4.0,0
qavo-nogarys,tyrion-lannister,6.0,0
theon-greyjoy,tyrion-lannister,3.0,0
theon-greyjoy,tywin-lannister,3.0,0
theon-greyjoy,urzen,3.0,0
theon-greyjoy,victarion-greyjoy,3.0,0
theon-greyjoy,walda-frey-(daughter-of-merrett),3.0,0
theon-greyjoy,walder-frey,4.0,0
theon-greyjoy,walder-frey-(son-of-jammos),6.0,0
theon-greyjoy,walder-frey-(son-of-merrett),6.0,0
theon-greyjoy,werlag,3.0,0
theon-greyjoy,wex-pyke,14.0,0
theon-greyjoy,wex-pyke,3.0,0
theon-greyjoy,willow-witch-eye,4.0,0
theon-greyjoy,wyman-manderly,3.0,0
theon-greyjoy,yellow-dick,5.0,0
