Source,Target,weight,prediction
addam-marbrand,brynden-tully,3.0,0
addam-marbrand,cersei-lannister,3.0,0
addam-marbrand,gyles-rosby,3.0,0
addam-marbrand,jaime-lannister,3.0,0
addam-marbrand,jaime-lannister,3.0,0
addam-marbrand,jaime-lannister,8.0,0
addam-marbrand,jalabhar-xho,3.0,0
addam-marbrand,joffrey-baratheon,3.0,0
addam-marbrand,kevan-lannister,3.0,0
addam-marbrand,lyle-crakehall,4.0,0
addam-marbrand,oberyn-martell,3.0,0
addam-marbrand,tyrion-lannister,7.0,0
addam-marbrand,tywin-lannister,6.0,0
addam-marbrand,varys,4.0,0
