Source,Target,weight,prediction
axell-florent,davos-seaworth,21.0,2
axell-florent,jon-snow,4.0,0
axell-florent,lamprey,5.0,0
axell-florent,melisandre,4.0,0
axell-florent,melisandre,5.0,0
axell-florent,porridge,5.0,0
axell-florent,salladhor-saan,3.0,0
axell-florent,selyse-florent,3.0,0
axell-florent,selyse-florent,8.0,0
axell-florent,selyse-florent,8.0,0
axell-florent,shireen-baratheon,3.0,0
axell-florent,stannis-baratheon,6.0,0
axell-florent,stannis-baratheon,16.0,0
axell-florent,stannis-baratheon,3.0,0
daven-lannister,emmon-frey,3.0,0
daven-lannister,jaime-lannister,12.0,0
meris,quentyn-martell,14.0,0
meris,tattered-prince,9.0,0
walder-frey-(son-of-jammos),walder-frey-(son-of-merrett),5.0,0
walder-frey-(son-of-jammos),walder-frey-(son-of-merrett),10.0,0
