Source,Target,weight,prediction
aerys-i-targaryen,robert-baratheon,3.0,0
ballabar,frenken,4.0,0
ballabar,podrick-payne,3.0,0
ballabar,tyrion-lannister,12.0,0
ballabar,tyrion-lannister,4.0,0
bonifer-hasty,jaime-lannister,4.0,0
dick-follard,jon-snow,3.0,0
dick-follard,satin,5.0,0
elinor-tyrell,margaery-tyrell,5.0,0
elinor-tyrell,megga-tyrell,8.0,0
elinor-tyrell,megga-tyrell,10.0,0
elinor-tyrell,sansa-stark,5.0,0
elinor-tyrell,tallad,3.0,0
joanna-lannister,tywin-lannister,4.0,0
lemore,rolly-duckfield,5.0,0
lemore,tyrion-lannister,16.0,0
lemore,yandry,5.0,0
lemore,ysilla,3.0,0
rast,samwell-tarly,3.0,0
yandry,ysilla,14.0,0
