Source,Target,weight,prediction
oberyn-martell,sansa-stark,3.0,0
oberyn-martell,tyene-sand,3.0,0
oberyn-martell,tyrion-lannister,41.0,2
oberyn-martell,tywin-lannister,9.0,0
oberyn-martell,viserys-targaryen,4.0,0
polliver,rafford,7.0,0
polliver,rafford,10.0,0
polliver,sandor-clegane,3.0,0
polliver,sandor-clegane,19.0,2
polliver,sansa-stark,3.0,0
polliver,tickler,3.0,0
polliver,tickler,16.0,0
polliver,weese,3.0,0
stannis-baratheon,steffon-baratheon,3.0,0
stannis-baratheon,theomore,3.0,0
stannis-baratheon,theon-greyjoy,10.0,0
stannis-baratheon,tommen-baratheon,3.0,0
stannis-baratheon,tommen-baratheon,6.0,0
stannis-baratheon,tommen-baratheon,7.0,0
stannis-baratheon,tycho-nestoris,7.0,0
stannis-baratheon,tyrion-lannister,39.0,2
stannis-baratheon,tyrion-lannister,7.0,0
stannis-baratheon,tyrion-lannister,3.0,0
stannis-baratheon,tyrion-lannister,3.0,0
stannis-baratheon,tywin-lannister,4.0,0
stannis-baratheon,tywin-lannister,4.0,0
stannis-baratheon,tywin-lannister,15.0,0
stannis-baratheon,tywin-lannister,4.0,0
stannis-baratheon,tywin-lannister,3.0,0
stannis-baratheon,val,15.0,0
stannis-baratheon,varys,5.0,0
stannis-baratheon,varys,5.0,0
stannis-baratheon,william-foxglove,3.0,0
stannis-baratheon,wyman-manderly,19.0,2
