Source,Target,weight,prediction
kasporio,tybero-istarion,3.0,0
kasporio,tyrion-lannister,3.0,0
tyrion-lannister,tysha,4.0,0
tyrion-lannister,tysha,3.0,0
tyrion-lannister,tysha,4.0,0
tyrion-lannister,tywin-lannister,40.0,2
tyrion-lannister,tywin-lannister,6.0,0
tyrion-lannister,tywin-lannister,44.0,2
tyrion-lannister,tywin-lannister,9.0,0
tyrion-lannister,tywin-lannister,18.0,0
tyrion-lannister,vardis-egen,9.0,0
tyrion-lannister,varys,3.0,0
tyrion-lannister,varys,63.0,1
tyrion-lannister,varys,27.0,2
tyrion-lannister,varys,7.0,0
tyrion-lannister,varys,7.0,0
tyrion-lannister,viserys-targaryen,4.0,0
tyrion-lannister,vylarr,6.0,0
tyrion-lannister,willas-tyrell,5.0,0
tyrion-lannister,willis-wode,4.0,0
tyrion-lannister,yandry,15.0,0
tyrion-lannister,yezzan-zo-qaggaz,17.0,0
tyrion-lannister,yoren,10.0,0
tyrion-lannister,ysilla,11.0,0
