Source,Target,weight,prediction
boros-blount,cersei-lannister,9.0,0
boros-blount,cersei-lannister,7.0,0
boros-blount,cersei-lannister,4.0,0
boros-blount,cersei-lannister,3.0,0
boros-blount,gyles-rosby,5.0,0
boros-blount,jaime-lannister,6.0,0
boros-blount,jaime-lannister,3.0,0
boros-blount,joffrey-baratheon,3.0,0
boros-blount,joffrey-baratheon,11.0,0
boros-blount,loras-tyrell,5.0,0
boros-blount,meryn-trant,5.0,0
boros-blount,meryn-trant,13.0,0
boros-blount,meryn-trant,6.0,0
boros-blount,meryn-trant,4.0,0
boros-blount,meryn-trant,3.0,0
boros-blount,osmund-kettleblack,8.0,0
boros-blount,osney-kettleblack,3.0,0
boros-blount,sansa-stark,6.0,0
boros-blount,sansa-stark,8.0,0
boros-blount,tanda-stokeworth,3.0,0
boros-blount,tommen-baratheon,3.0,0
boros-blount,tommen-baratheon,7.0,0
boros-blount,tommen-baratheon,4.0,0
boros-blount,tyrion-lannister,8.0,0
boros-blount,tyrion-lannister,6.0,0
florian-the-fool,jonquil,8.0,0
florian-the-fool,sansa-stark,3.0,0
high-sparrow,kevan-lannister,5.0,0
high-sparrow,maegor-i-targaryen,4.0,0
high-sparrow,margaery-tyrell,11.0,0
high-sparrow,osney-kettleblack,4.0,0
high-sparrow,taena-of-myr,4.0,0
high-sparrow,tommen-baratheon,7.0,0
high-sparrow,unella,6.0,0
kedry,quentyn-martell,3.0,0
