Source,Target,weight,prediction
hugo-vance,jaime-lannister,3.0,0
leo-lefford,tyrion-lannister,4.0,0
lyonel-corbray,petyr-baelish,3.0,0
mace-tyrell,margaery-tyrell,5.0,0
mace-tyrell,margaery-tyrell,6.0,0
mace-tyrell,mathis-rowan,3.0,0
mace-tyrell,oberyn-martell,15.0,0
mace-tyrell,olenna-redwyne,3.0,0
mace-tyrell,olenna-redwyne,4.0,0
mace-tyrell,paxter-redwyne,3.0,0
mace-tyrell,paxter-redwyne,3.0,0
mace-tyrell,paxter-redwyne,4.0,0
mace-tyrell,pycelle,4.0,0
mace-tyrell,randyll-tarly,3.0,0
mace-tyrell,randyll-tarly,5.0,0
mace-tyrell,renly-baratheon,4.0,0
mace-tyrell,robert-strong,3.0,0
mace-tyrell,sansa-stark,9.0,0
mace-tyrell,stannis-baratheon,3.0,0
mace-tyrell,stannis-baratheon,5.0,0
mace-tyrell,stannis-baratheon,4.0,0
mace-tyrell,tommen-baratheon,10.0,0
mace-tyrell,tyrion-lannister,15.0,0
mace-tyrell,tyrion-lannister,3.0,0
mace-tyrell,tywin-lannister,10.0,0
mace-tyrell,tywin-lannister,4.0,0
mace-tyrell,willas-tyrell,4.0,0
