Source,Target,weight,prediction
aegon-targaryen-(son-of-rhaegar),daenerys-targaryen,11.0,0
aegon-targaryen-(son-of-rhaegar),elia-martell,3.0,0
aegon-targaryen-(son-of-rhaegar),elia-martell,4.0,0
aegon-targaryen-(son-of-rhaegar),franklyn-flowers,3.0,0
aegon-targaryen-(son-of-rhaegar),haldon,14.0,0
aegon-targaryen-(son-of-rhaegar),harry-strickland,9.0,0
aegon-targaryen-(son-of-rhaegar),jon-connington,16.0,0
aegon-targaryen-(son-of-rhaegar),lemore,10.0,0
aegon-targaryen-(son-of-rhaegar),rhaegar-targaryen,3.0,0
aegon-targaryen-(son-of-rhaegar),rhaegar-targaryen,9.0,0
aegon-targaryen-(son-of-rhaegar),rhaenys-targaryen-(daughter-of-rhaegar),4.0,0
aegon-targaryen-(son-of-rhaegar),rolly-duckfield,11.0,0
aegon-targaryen-(son-of-rhaegar),tyrion-lannister,23.0,2
aegon-targaryen-(son-of-rhaegar),tywin-lannister,3.0,0
aegon-targaryen-(son-of-rhaegar),viserys-targaryen,3.0,0
aegon-targaryen-(son-of-rhaegar),yandry,6.0,0
aegon-targaryen-(son-of-rhaegar),ysilla,4.0,0
amerei-frey,jaime-lannister,6.0,0
amerei-frey,lancel-lannister,10.0,0
amerei-frey,lyle-crakehall,4.0,0
lyanna-stark,rhaegar-targaryen,4.0,0
lyanna-stark,robert-baratheon,9.0,0
lyanna-stark,sansa-stark,4.0,0
maegor-i-targaryen,sansa-stark,4.0,0
maegor-i-targaryen,tommen-baratheon,5.0,0
maegor-i-targaryen,varys,3.0,0
marwyn,samwell-tarly,6.0,0
qotho,quaro,4.0,0
