Source,Target,weight,prediction
chella,shae,4.0,0
chella,tyrion-lannister,5.0,0
chella,tyrion-lannister,3.0,0
chella,varys,4.0,0
gerold-grafton,terrance-lynderly,3.0,0
josmyn-peckledon,pia,6.0,0
kevan-lannister,lancel-lannister,7.0,0
kevan-lannister,lancel-lannister,10.0,0
kevan-lannister,mace-tyrell,5.0,0
kevan-lannister,pycelle,3.0,0
kevan-lannister,pycelle,5.0,0
kevan-lannister,randyll-tarly,6.0,0
kevan-lannister,ronnet-connington,3.0,0
kevan-lannister,sansa-stark,5.0,0
kevan-lannister,stannis-baratheon,3.0,0
kevan-lannister,tommen-baratheon,3.0,0
kevan-lannister,tommen-baratheon,6.0,0
kevan-lannister,tommen-baratheon,11.0,0
kevan-lannister,tyrion-lannister,15.0,0
kevan-lannister,tyrion-lannister,11.0,0
kevan-lannister,tyrion-lannister,4.0,0
kevan-lannister,tywin-lannister,9.0,0
kevan-lannister,tywin-lannister,15.0,0
kevan-lannister,tywin-lannister,5.0,0
kevan-lannister,tywin-lannister,3.0,0
kevan-lannister,varys,5.0,0
kevan-lannister,varys,3.0,0
kevan-lannister,willem-lannister,3.0,0
patrek-of-kings-mountain,selyse-florent,7.0,0
patrek-of-kings-mountain,wun-weg-wun-dar-wun,3.0,0
qarl-the-maid,tristifer-botley,5.0,0
