Source,Target,weight,prediction
baelor-blacktyde,balon-greyjoy,3.0,0
baelor-blacktyde,euron-greyjoy,4.0,0
baelor-blacktyde,victarion-greyjoy,4.0,0
gilly,jojen-reed,3.0,0
gilly,jon-snow,8.0,0
gilly,jon-snow,15.0,0
gilly,jon-snow,10.0,0
gilly,kojja-mo,7.0,0
gilly,mance-rayder,6.0,0
gilly,mance-rayder,3.0,0
gilly,meera-reed,3.0,0
gilly,melisandre,3.0,0
gilly,melisandre,4.0,0
gilly,samwell-tarly,35.0,2
gilly,samwell-tarly,41.0,2
gilly,samwell-tarly,8.0,0
gilly,small-paul,3.0,0
lewyn-martell,oswell-whent,3.0,0
palla,theon-greyjoy,3.0,0
