Source,Target,weight,prediction
gormon-tyrell,walgrave,3.0,0
petyr-baelish,podrick-payne,4.0,0
petyr-baelish,pycelle,14.0,0
petyr-baelish,pycelle,8.0,0
petyr-baelish,pycelle,4.0,0
petyr-baelish,renly-baratheon,12.0,0
petyr-baelish,renly-baratheon,5.0,0
petyr-baelish,robb-stark,6.0,0
petyr-baelish,robert-arryn,4.0,0
petyr-baelish,robert-arryn,22.0,2
petyr-baelish,robert-baratheon,30.0,2
petyr-baelish,rodrik-cassel,7.0,0
petyr-baelish,roose-bolton,3.0,0
petyr-baelish,sandor-clegane,3.0,0
petyr-baelish,sansa-stark,8.0,0
petyr-baelish,sansa-stark,4.0,0
petyr-baelish,sansa-stark,31.0,2
petyr-baelish,sansa-stark,18.0,0
petyr-baelish,stannis-baratheon,8.0,0
petyr-baelish,symond-templeton,5.0,0
petyr-baelish,tomard,4.0,0
petyr-baelish,tyrion-lannister,11.0,0
petyr-baelish,tyrion-lannister,41.0,2
petyr-baelish,tyrion-lannister,14.0,0
petyr-baelish,tyrion-lannister,5.0,0
petyr-baelish,tywin-lannister,5.0,0
petyr-baelish,varys,29.0,2
petyr-baelish,varys,27.0,2
petyr-baelish,varys,4.0,0
petyr-baelish,yohn-royce,3.0,0
petyr-baelish,yohn-royce,12.0,0
