Source,Target,weight,prediction
grenn,halder,6.0,0
grenn,jeor-mormont,3.0,0
grenn,jeor-mormont,3.0,0
grenn,jeor-mormont,7.0,0
grenn,jon-snow,31.0,2
grenn,jon-snow,30.0,2
grenn,jon-snow,3.0,0
grenn,kegs,5.0,0
grenn,owen,4.0,0
grenn,pypar,27.0,2
grenn,pypar,28.0,2
grenn,pypar,5.0,0
grenn,pypar,3.0,0
grenn,samwell-tarly,8.0,0
grenn,samwell-tarly,6.0,0
grenn,samwell-tarly,43.0,2
grenn,small-paul,3.0,0
grenn,todder,7.0,0
grenn,todder,3.0,0
jhiqui,jorah-mormont,4.0,0
jhiqui,jorah-mormont,5.0,0
jhiqui,missandei,5.0,0
jhiqui,missandei,10.0,0
jhiqui,rakharo,5.0,0
jhiqui,skahaz-mo-kandaq,3.0,0
lambert-turnberry,tallad,3.0,0
lyn-corbray,lyonel-corbray,4.0,0
lyn-corbray,lysa-arryn,3.0,0
lyn-corbray,petyr-baelish,4.0,0
lyn-corbray,robert-arryn,6.0,0
mikken,osha,3.0,0
mikken,theon-greyjoy,4.0,0
