Source,Target,weight,prediction
barbrey-dustin,jeyne-poole,5.0,0
barbrey-dustin,ramsay-snow,5.0,0
barbrey-dustin,roger-ryswell,4.0,0
barbrey-dustin,roose-bolton,3.0,0
barbrey-dustin,stannis-baratheon,3.0,0
barbrey-dustin,theon-greyjoy,17.0,0
hodor,jojen-reed,3.0,0
hodor,jojen-reed,24.0,2
hodor,jojen-reed,11.0,0
hodor,luwin,10.0,0
hodor,luwin,17.0,0
hodor,meera-reed,10.0,0
hodor,meera-reed,28.0,2
hodor,meera-reed,21.0,2
hodor,nan,8.0,0
hodor,osha,16.0,0
hodor,rickon-stark,11.0,0
hodor,robb-stark,5.0,0
hodor,rodrik-cassel,3.0,0
hodor,wyman-manderly,3.0,0
jorah-mormont,mero,9.0,0
jorah-mormont,mirri-maz-duur,5.0,0
jorah-mormont,missandei,3.0,0
jorah-mormont,nurse,4.0,0
jorah-mormont,penny,9.0,0
jorah-mormont,pono,3.0,0
jorah-mormont,qotho,7.0,0
jorah-mormont,rakharo,3.0,0
jorah-mormont,rhaegar-targaryen,5.0,0
jorah-mormont,rhaegar-targaryen,4.0,0
jorah-mormont,rhaegar-targaryen,5.0,0
jorah-mormont,robert-baratheon,3.0,0
jorah-mormont,robert-baratheon,7.0,0
jorah-mormont,tyrion-lannister,27.0,2
jorah-mormont,viserys-targaryen,15.0,0
