Source,Target,weight,prediction
dunsen,gregor-clegane,4.0,0
dunsen,gregor-clegane,11.0,0
dunsen,gregor-clegane,3.0,0
dunsen,gregor-clegane,3.0,0
dunsen,ilyn-payne,3.0,0
dunsen,ilyn-payne,6.0,0
dunsen,ilyn-payne,4.0,0
dunsen,ilyn-payne,3.0,0
dunsen,joffrey-baratheon,3.0,0
dunsen,joffrey-baratheon,6.0,0
dunsen,meryn-trant,3.0,0
dunsen,meryn-trant,6.0,0
dunsen,meryn-trant,4.0,0
dunsen,meryn-trant,3.0,0
dunsen,polliver,7.0,0
dunsen,polliver,9.0,0
dunsen,rafford,6.0,0
dunsen,rafford,10.0,0
dunsen,rafford,4.0,0
dunsen,rafford,3.0,0
dunsen,sandor-clegane,3.0,0
dunsen,sandor-clegane,7.0,0
dunsen,tickler,3.0,0
dunsen,tickler,9.0,0
dunsen,weese,3.0,0
jon-umber-(smalljon),robb-stark,5.0,0
