Source,Target,weight,prediction
doran-martell,ellaria-sand,3.0,0
doran-martell,gregor-clegane,3.0,0
doran-martell,gregor-clegane,4.0,0
doran-martell,gregor-clegane,4.0,0
doran-martell,myrcella-baratheon,4.0,0
doran-martell,myrcella-baratheon,6.0,0
doran-martell,myrcella-baratheon,5.0,0
doran-martell,nymeria-sand,4.0,0
doran-martell,nymeria-sand,3.0,0
doran-martell,obara-sand,8.0,0
doran-martell,obara-sand,4.0,0
doran-martell,oberyn-martell,4.0,0
doran-martell,oberyn-martell,5.0,0
doran-martell,oberyn-martell,5.0,0
doran-martell,quentyn-martell,4.0,0
doran-martell,robert-baratheon,3.0,0
doran-martell,tyene-sand,6.0,0
doran-martell,tyrion-lannister,3.0,0
doran-martell,tyrion-lannister,10.0,0
doran-martell,tywin-lannister,4.0,0
doran-martell,varys,4.0,0
doran-martell,viserys-targaryen,3.0,0
hot-pie,lem,7.0,0
hot-pie,lommy-greenhands,28.0,2
hot-pie,mebble,4.0,0
hot-pie,sharna,3.0,0
hot-pie,tom-of-sevenstreams,4.0,0
hot-pie,weasel,4.0,0
hot-pie,woth,5.0,0
hot-pie,yoren,8.0,0
illyrio-mopatis,irri,3.0,0
illyrio-mopatis,jon-connington,6.0,0
illyrio-mopatis,jorah-mormont,7.0,0
illyrio-mopatis,robert-baratheon,6.0,0
illyrio-mopatis,rolly-duckfield,6.0,0
illyrio-mopatis,tyrion-lannister,30.0,2
illyrio-mopatis,viserys-targaryen,14.0,0
leathers,toregg,4.0,0
leathers,tormund,3.0,0
leathers,wun-weg-wun-dar-wun,9.0,0
