Source,Target,weight,prediction
bryce-caron,cortnay-penrose,3.0,0
bryce-caron,eldon-estermont,3.0,0
bryce-caron,guyard-morrigen,5.0,0
bryce-caron,renly-baratheon,7.0,0
bryce-caron,stannis-baratheon,3.0,0
daario-naharis,daenerys-targaryen,15.0,0
daario-naharis,daenerys-targaryen,50.0,2
daario-naharis,drogo,3.0,0
daario-naharis,grey-worm,6.0,0
daario-naharis,groleo,4.0,0
daario-naharis,hero,7.0,0
daario-naharis,hizdahr-zo-loraq,14.0,0
daario-naharis,irri,3.0,0
daario-naharis,irri,7.0,0
daario-naharis,jhiqui,5.0,0
daario-naharis,jhogo,9.0,0
daario-naharis,jorah-mormont,10.0,0
daario-naharis,missandei,4.0,0
daario-naharis,prendahl-na-ghezn,3.0,0
daario-naharis,quentyn-martell,5.0,0
daario-naharis,rakharo,4.0,0
daario-naharis,sallor,3.0,0
daario-naharis,skahaz-mo-kandaq,9.0,0
pate-(whipping-boy),tommen-baratheon,4.0,0
