Source,Target,weight,prediction
balon-greyjoy,catelyn-stark,3.0,0
balon-greyjoy,dagmer,3.0,0
balon-greyjoy,eddard-stark,3.0,0
balon-greyjoy,eddard-stark,4.0,0
balon-greyjoy,euron-greyjoy,20.0,2
balon-greyjoy,euron-greyjoy,3.0,0
balon-greyjoy,robb-stark,5.0,0
balon-greyjoy,robb-stark,6.0,0
balon-greyjoy,robert-baratheon,4.0,0
balon-greyjoy,robert-baratheon,4.0,0
balon-greyjoy,stannis-baratheon,4.0,0
balon-greyjoy,stannis-baratheon,4.0,0
balon-greyjoy,theon-greyjoy,27.0,2
balon-greyjoy,theon-greyjoy,3.0,0
balon-greyjoy,tywin-lannister,4.0,0
balon-greyjoy,victarion-greyjoy,4.0,0
balon-greyjoy,victarion-greyjoy,13.0,0
grigg,jarl,3.0,0
grigg,jon-snow,5.0,0
